institution_country_1,institution_name_1,couple_1,couple_2,institution_name_2,institution_country_2,sum_paper
Indonesia,"Department of Computer Science, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",113730915,60103610,"Bina Nusantara University, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",Indonesia,10
United States,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",60033011,104676705,"Marine Geology and Geophysics, 61 Rte. 9W., Palisades, NY, United States, 10964",United States,10
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,123143883,"Cloud Platform User Experience, Dietmar-Hopp-Allee 16, Walldorf, Baden-Wurttemberg, Germany, 69190",Germany,9
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,104757253,"Department of Physics, Depok, Java, Indonesia, 16424",Indonesia,9
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60069391,"Universitas Udayana, Kampus Bukit Jimbaran, Kabupaten Badung,, Bali, West Nusa Tenggara, Indonesia",Indonesia,9
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,118325631,"Machine Learning and Computer Vision Laboratory, Depok, Java, Indonesia, 16424",Indonesia,9
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60028868,"Università di Pisa, Lung'Arno Pacinotti 43, Pisa, PI, Italy, 56126",Italy,9
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,121494766,"Faculty of Computer Science, Depok, Indonesia",Indonesia,9
Italy,"Università di Pisa, Lung'Arno Pacinotti 43, Pisa, PI, Italy, 56126",60028868,115534586,"CONVERGE ICT Solutions and Services SA, 74 Panormou Street, Athens, Greece, 125 23",Greece,9
Japan,"Nara Institute of Science and Technology, 8916-5 Takayamacho, Ikoma, Nara, Japan, 630-0192",60025017,104260943,"Graduate School of Science and Technology, 8916-5 Takayamacho, Ikoma, Nara, Japan, 630-0192",Japan,9
United States,"STKO Lab, Santa Barbara, CA, United States, 93106-0001",114186060,60033011,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",United States,9
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,114959872,"Department of Computer Science, Jl. Dr. Setiabudhi No. 229, Bandung, West Java, Indonesia, 40154",Indonesia,9
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,115807387,"Kampus UI Depok, Depok, Java, Indonesia, 16424",Indonesia,9
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,104757408,"Department of Occupational Health and Safety, Depok, Java, Indonesia, 16424",Indonesia,9
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,118668751,"Faculty of Computer Science, Palembang, Palembang, Indonesia, 30128",Indonesia,9
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,113870693,"Department of Mathematics, Depok, Java, Indonesia, 16424",Indonesia,9
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,60021944,"Kasetsart University, 50 Phahonyothin Road, Bangkok, Thailand",Thailand,9
Indonesia,"Universitas Indonesia, Depok, Java, Indonesia, 16424",60069377,113121345,"Department of Computer Science, Jl. Raya Dramaga, Bogor, West Java, Indonesia, 16680",Indonesia,8
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60026553,"University of Melbourne, 1-100 Grattan Street, Parkville, VIC, Australia, 3010",Australia,8
United States,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",114748149,60020760,"National Center for Ecological Analysis and Synthesis, 735 State Street, Suite 300, Santa Barbara, CA, United States, 93101-5509",United States,8
United States,"Notre Dame of Maryland University, 4701 North Charles Street, Baltimore, MD, United States, 21210",60003038,60033011,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",United States,8
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,60024751,"Nagoya Institute of Technology, Gokiso-cho, Showa-ku, Nagoya, Aichi, Japan, 466-8555",Japan,8
United States,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",114748149,100261271,"Department of Geography, Knoxville, TN, United States",United States,8
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,110489126,"Department of Industrial Engineering, 50 Phahonyothin Road, Bangkok, Thailand",Thailand,8
United States,"Data Semantics (DaSe) Laboratory, 3640 Colonel Glenn Hwy, Dayton, OH, United States, 45435-0001",114748149,104676705,"Marine Geology and Geophysics, 61 Rte. 9W., Palisades, NY, United States, 10964",United States,8
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,103597531,"Faculty of Information Science and Electrical Engineering, 744 Motooka Nishi-ku, Fukuoka, Fukuoka, Japan, 819-0395",Japan,8
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,110595146,"Department of Computer Science, Kampus Bukit Jimbaran, Kabupaten Badung,, Bali, West Nusa Tenggara, Indonesia",Indonesia,8
United States,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",60033011,60024997,"University of Maryland, Baltimore County, 1000 Hilltop Circle, Baltimore, MD, United States, 21201",United States,8
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,118736414,"STMIK Palangkaraya, Palangkaraya, Kalimantan Tengah, Indonesia, 74874",Indonesia,8
Indonesia,"Faculty of Computer Science, Universitas Indonesia, Depok, Java, Indonesia, 16424",110895154,118787672,"Jl. Agatis, Jl. Raya Dramaga, Bogor, West Java, Indonesia, 16680",Indonesia,8
Indonesia,"Research Center for Informatics, Jakarta, Java, Indonesia",112067453,60069377,"Universitas Indonesia, Depok, Java, Indonesia, 16424",Indonesia,8
United States,"Department of Geography, Knoxville, TN, United States",100261271,60033011,"Lamont-Doherty Earth Observatory, 61 Rte. 9W., Palisades, NY, United States, 10964",United States,8
