affiliation_id,complete_affiliation,sum_people,affil_name,affil_address,affil_city,affil_state,affil_country,affil_postal_code
60003161,"University Politehnica of Bucharest, Splaiul Independenței 313, Bucuresti, Bucharest, 60032",1,University Politehnica of Bucharest,Splaiul Independenței 313,Bucuresti,Bucharest,,60032
103212300,"Telecommunications Department, Splaiul Independenței 313, Bucuresti, Bucharest, 60032",2,Telecommunications Department,Splaiul Independenței 313,Bucuresti,Bucharest,,60032
60028868,"Università di Pisa, Lung'Arno Pacinotti 43, Pisa, PI, Italy, 56126",5,Università di Pisa,Lung'Arno Pacinotti 43,Pisa,PI,Italy,56126
105216101,"Intecs S.p.A., Polo di Att. Montacchiello, Loc. Ospedaletto, Pisa, Italy, 56121",2,Intecs S.p.A.,"Polo di Att. Montacchiello, Loc. Ospedaletto",Pisa,,Italy,56121
115534586,"CONVERGE ICT Solutions and Services SA, 74 Panormou Street, Athens, Greece, 125 23",2,CONVERGE ICT Solutions and Services SA,74 Panormou Street,Athens,,Greece,125 23
60110404,"TECNALIA, Parque Científico y Tecnológico de Gipuzkoa. Mikeletegi Pasealekua 2, Donostia-San Sebastian, Guipuzcoa, Spain, 20009",1,TECNALIA,Parque Científico y Tecnológico de Gipuzkoa. Mikeletegi Pasealekua 2,Donostia-San Sebastian,Guipuzcoa,Spain,20009
60107956,"Hewlett Packard Enterprise, 3000 Hanover Street, Palo Alto, CA, United States, 94304-1112",1,Hewlett Packard Enterprise,3000 Hanover Street,Palo Alto,CA,United States,94304-1112
60107900,"HP Italy Srl, Via Donat Cattin, 5, Cernusco sul Naviglio, Milan, Italy, 20063",1,HP Italy Srl,"Via Donat Cattin, 5, Cernusco sul Naviglio",Milan,,Italy,20063
121694240,"Advanced Parallel Computing Lab Atos Research and Innovation (ARI), Sevilla, Spain",1,Advanced Parallel Computing Lab Atos Research and Innovation (ARI),,Sevilla,,Spain,
111335865,"Atos Research and Innovation, Atos Spain S.A, Spain carlos.cavero@atos.net, Madrid, Spain, 28037",1,Atos Research and Innovation,"Atos Spain S.A, Spain carlos.cavero@atos.net",Madrid,,Spain,28037
120851670,Beia Consult International,1,Beia Consult International,,,,,
112988891,"R and D Department, BEIA Consult International, Bucharest, 041386",1,R and D Department,BEIA Consult International,Bucharest,,,041386
108208968,"Computer Engineering, Wellesely Road, Shivajinagar, Pune, MH, India, 411005",1,Computer Engineering,"Wellesely Road, Shivajinagar",Pune,MH,India,411005
60072181,"European Patent Office, Munich, Bayern, Germany, 80298",1,European Patent Office,,Munich,Bayern,Germany,80298
117018344,"Vocational School, Jl. Raya Dramaga, Bogor, West Java, Indonesia, 16680",1,Vocational School,Jl. Raya Dramaga,Bogor,West Java,Indonesia,16680
121970638,"DNA Laboratory, Indonesia",1,DNA Laboratory,,,,Indonesia,
60031126,"Tokyo Institute of Technology, 2-12-1 O-Okayama, Tokyo, Tokyo, Japan, 152-8550",2,Tokyo Institute of Technology,2-12-1 O-Okayama,Tokyo,Tokyo,Japan,152-8550
104757281,"Department of Oral Biology, Depok, Java, Indonesia, 16424",1,Department of Oral Biology,,Depok,Java,Indonesia,16424
60069407,"Badan Pengkajian dan Penerapan Teknologi, Jakarta, Java, Indonesia",3,Badan Pengkajian dan Penerapan Teknologi,,Jakarta,Java,Indonesia,
108778323,"Department of Computer Science, Bulaksumur, Yogyakarta, Yogyakarta, Indonesia, 55281",1,Department of Computer Science,Bulaksumur,Yogyakarta,Yogyakarta,Indonesia,55281
113905063,"Information System and Technology, Jl. Tamansari 64, Bandung, West Java, Indonesia, 40116",1,Information System and Technology,Jl. Tamansari 64,Bandung,West Java,Indonesia,40116
114423201,"Doctor of Research in Management, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",1,Doctor of Research in Management,"Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah",Jakarta,,Indonesia,11480
121985781,"Institut Teknologi Kreatif Bina Nusantara, Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah, Jakarta, Indonesia, 11480",1,Institut Teknologi Kreatif Bina Nusantara,"Jl. K. H. Syahdan No. 9, Kemanggisan, Palmerah",Jakarta,,Indonesia,11480
118429759,"Sekolah Teknik Elektro Dan Informatika, Jl. Tamansari 64, Bandung, West Java, Indonesia, 40116",1,Sekolah Teknik Elektro Dan Informatika,Jl. Tamansari 64,Bandung,West Java,Indonesia,40116
120994536,"Universitas Islam Syekh Yusuf (UNIS), Tangerang, Tangerang, Indonesia, 15118",1,Universitas Islam Syekh Yusuf (UNIS),Tangerang,Tangerang,,Indonesia,15118
113606204,"Information System Departement, Jl. Diponegoro 52-60, Salatiga, Java, Indonesia, 50711",1,Information System Departement,Jl. Diponegoro 52-60,Salatiga,Java,Indonesia,50711
manual,"Department of Information Technology, UIN Sultan Syarif Qasim Riau, Riau, Indonesia, 28293",1,"Department of Information Technology, UIN Sultan Syarif Qasim Riau",,,Riau,Indonesia,28293
104608856,"Department of Engineering Education, 1600 Old Main Hill, Logan, UT, United States, 84322-1400",3,Department of Engineering Education,1600 Old Main Hill,Logan,UT,United States,84322-1400
121494766,"Faculty of Computer Science, Depok, Indonesia",2,Faculty of Computer Science,,Depok,,Indonesia,
104757294,"Faculty of Computer Science and Information Technology, Depok, Java, Indonesia, 16424",2,Faculty of Computer Science and Information Technology,,Depok,Java,Indonesia,16424
118267876,"E-Government and E-Business Research Lab, Depok, Java, Indonesia, 16424",3,E-Government and E-Business Research Lab,,Depok,Java,Indonesia,16424
60033010,"Intel Corporation, 2200 Mission College Blvd., Santa Clara, CA, United States, 95054-1549",1,Intel Corporation,2200 Mission College Blvd.,Santa Clara,CA,United States,95054-1549
114616110,"Computer Engineering, Depok, Java, Indonesia, 16424",1,Computer Engineering,,Depok,Java,Indonesia,16424
60025272,"University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo, Tokyo, Japan, 113-8654",1,University of Tokyo,"7-3-1 Hongo, Bunkyo-ku",Tokyo,Tokyo,Japan,113-8654
104572869,"School of ITEE, St Lucia, Brisbane, QLD, Australia, 4072",1,School of ITEE,St Lucia,Brisbane,QLD,Australia,4072
104572845,"School of Information Technology and Electrical Engineering, St Lucia, Brisbane, QLD, Australia, 4072",1,School of Information Technology and Electrical Engineering,St Lucia,Brisbane,QLD,Australia,4072
118498565,"UBITEC Lab, Tangerang, Tangerang, Indonesia, 15810",1,UBITEC Lab,Tangerang,Tangerang,,Indonesia,15810
60026532,"Microsoft Corporation, One Microsoft Way, Redmond, WA, United States, 98052-6399",2,Microsoft Corporation,One Microsoft Way,Redmond,WA,United States,98052-6399
113504507,"Faculty of Science, Spui 21, Amsterdam, Noord-Holland, Netherlands, 1012 WX",1,Faculty of Science,Spui 21,Amsterdam,Noord-Holland,Netherlands,1012 WX
60118933,"Complexity Institute, Academic Building North, Level 1 Section B Unit No. 7, (ABN-01B-07), 61 Nanyang Drive, Singapore City, Singapore, 637335",1,Complexity Institute,"Academic Building North, Level 1 Section B Unit No. 7, (ABN-01B-07), 61 Nanyang Drive",Singapore City,,Singapore,637335
60024324,"University of Iowa, Iowa City, IA, United States",1,University of Iowa,,Iowa City,IA,United States,
113909540,"Department of Computer Science, 1401 West Green Street, Urbana, IL, United States, 61801",2,Department of Computer Science,1401 West Green Street,Urbana,IL,United States,61801
106617750,"HDF Group, 1800 South Oak Street, Champaign, IL, null61820, Champaign, IL, United States, 61820",1,HDF Group,"1800 South Oak Street, Champaign, IL, null61820",Champaign,IL,United States,61820
108213006,"Department of Psychology, Odegaard Library 022 Odegaard, Seattle, WA, United States, 98195-5502",1,Department of Psychology,Odegaard Library 022 Odegaard,Seattle,WA,United States,98195-5502
60099840,"Loral Space & Communications, 600 Third Avenue, New York, NY, United States, 10016",1,Loral Space & Communications,600 Third Avenue,New York,NY,United States,10016
60022195,"Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, MA, United States, 02139-4307",1,Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,United States,02139-4307
113860336,"Department of Computer Science, Boulder, CO, United States, 80309",1,Department of Computer Science,,Boulder,CO,United States,80309
60021293,"International Business Machines, 1 New Orchard Road, Armonk, NY, United States, 10504-1722",1,International Business Machines,1 New Orchard Road,Armonk,NY,United States,10504-1722
60027272,"University of Edinburgh, Old College South Bridge, Edinburgh, Scotland, United Kingdom, EH8 9YL",3,University of Edinburgh,Old College South Bridge,Edinburgh,Scotland,United Kingdom,EH8 9YL
104757713,"Department of Agroindustrial Technology, Jl. Raya Dramaga, Bogor, West Java, Indonesia, 16680",1,Department of Agroindustrial Technology,Jl. Raya Dramaga,Bogor,West Java,Indonesia,16680
123296381,"Universitas Maarif Hasyim Latif, Sidoarjo, Sidoarjo, Indonesia",1,Universitas Maarif Hasyim Latif,Sidoarjo,Sidoarjo,,Indonesia,
120552312,"Department of Industrial Engineering, Jl. Gatot Subroto, PO Box 807 (PINDAD), Bandung, West Java, Bandung, Indonesia, 40285",1,Department of Industrial Engineering,"Jl. Gatot Subroto, PO Box 807 (PINDAD), Bandung, West Java",Bandung,,Indonesia,40285
60106860,"Universitas Khairun, Jl. Pertamina Kampus II Unkhair Gambesi Kota, Ternate, Indonesia",2,Universitas Khairun,Jl. Pertamina Kampus II Unkhair Gambesi Kota,Ternate,,Indonesia,
121236516,"KPSI, Jakarta, Indonesia",1,KPSI,,Jakarta,,Indonesia,
121452888,"STMIK Global Informatika MDP, Palembang, Palembang, Indonesia",3,STMIK Global Informatika MDP,Palembang,Palembang,,Indonesia,
121451942,"Akademi Manajemen Informatika Dan Komputer MDP, Palembang, Palembang, Indonesia",1,Akademi Manajemen Informatika Dan Komputer MDP,Palembang,Palembang,,Indonesia,
107784073,"Center for Political Studies, Jakarta, Java, Indonesia",1,Center for Political Studies,,Jakarta,Java,Indonesia,
104758239,"Research Center for Development of Science and Technology, Jakarta, Java, Indonesia",1,Research Center for Development of Science and Technology,,Jakarta,Java,Indonesia,
119166701,"Program Studi Magister Ilmu Komputer, Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, Jakarta, Indonesia",1,Program Studi Magister Ilmu Komputer,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan",Jakarta,,Indonesia,
120668492,"Center of Renewable Energy Studies, Jl. Radin Inten II, Pondok Kelapa, East Jakarta, Jakarta, Indonesia, 13450",1,Center of Renewable Energy Studies,"Jl. Radin Inten II, Pondok Kelapa, East Jakarta",Jakarta,,Indonesia,13450
113323340,"Department of Chemical Engineering, Jalan Dr. T. Mansur No. 9, Kampus Padang Bulan, Medan, North Sumatra, Indonesia, 20155",1,Department of Chemical Engineering,"Jalan Dr. T. Mansur No. 9, Kampus Padang Bulan",Medan,North Sumatra,Indonesia,20155
106435640,"Department of Industrial Engineering, Kampus Limau Manis, Padang, West Sumatra, Indonesia, 25163",1,Department of Industrial Engineering,Kampus Limau Manis,Padang,West Sumatra,Indonesia,25163
118339938,"Department of Electronic and Information Engineering, Bulaksumur, Yogyakarta, Yogyakarta, Indonesia, 55281",1,Department of Electronic and Information Engineering,Bulaksumur,Yogyakarta,Yogyakarta,Indonesia,55281
113471683,"Department of Clinical Pathology, Jalan Pangeran Diponegoro No.71, Kenari, Senen, RW.5, Kenari, RW.5, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota, Jakarta, Indonesia, 10430",1,Department of Clinical Pathology,"Jalan Pangeran Diponegoro No.71, Kenari, Senen, RW.5, Kenari, RW.5, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota",Jakarta,,Indonesia,10430
118668751,"Faculty of Computer Science, Palembang, Palembang, Indonesia, 30128",6,Faculty of Computer Science,Palembang,Palembang,,Indonesia,30128
118261807,"Department of Information System, Bengkulu, Bengkulu, Indonesia, 38119",1,Department of Information System,Bengkulu,Bengkulu,,Indonesia,38119
121032242,"Department of Informatics, Komplek Masjid Agung Al Azhar, Jakarta, Indonesia, 12110",1,Department of Informatics,Komplek Masjid Agung Al Azhar,Jakarta,,Indonesia,12110
118186130,"Department of Informatics, Bengkulu, Bengkulu, Indonesia, 38119",1,Department of Informatics,Bengkulu,Bengkulu,,Indonesia,38119
60121697,"YARSI University, Menara YARSI, Kav. 13, Jl. Let. Jend. Suprapto. Cempaka Putih, Central Jakarta, Jakarta, Indonesia, 10510",3,YARSI University,"Menara YARSI, Kav. 13, Jl. Let. Jend. Suprapto. Cempaka Putih",Central Jakarta,Jakarta,Indonesia,10510
120901339,"Department of Information System, JL. A. Yani 117, Surabaya, East Java, Indonesia, 60237",1,Department of Information System,JL. A. Yani 117,Surabaya,East Java,Indonesia,60237
123372835,"Faculty of Information Technology, Menara YARSI, Kav. 13, Jl. Let. Jend. Suprapto. Cempaka Putih, Central Jakarta, Jakarta, Indonesia, 10510",7,Faculty of Information Technology,"Menara YARSI, Kav. 13, Jl. Let. Jend. Suprapto. Cempaka Putih",Central Jakarta,Jakarta,Indonesia,10510
60106037,"Universitas Islam Negeri Syarif Hidayatullah Jakarta, Jakarta, Indonesia",1,Universitas Islam Negeri Syarif Hidayatullah Jakarta,,Jakarta,,Indonesia,
100458054,"Bogor Institute of Agricultural Sciences, Baranangsiang IPB Campus, Bogor, West Java, Indonesia, 16143",1,Bogor Institute of Agricultural Sciences,Baranangsiang IPB Campus,Bogor,West Java,Indonesia,16143
123224651,"Informatics Department of Mathematics, Jl. Ir. Sutami 36A, Kentingan Jebres Surakarta, Surakarta, Indonesia, 57126",1,Informatics Department of Mathematics,"Jl. Ir. Sutami 36A, Kentingan Jebres Surakarta",Surakarta,,Indonesia,57126
60104399,"Universitas Bakrie, Jl.H.R Rasuna Said Kav C-22, Kuningan, Jakarta, Indonesia, 12920",1,Universitas Bakrie,"Jl.H.R Rasuna Said Kav C-22, Kuningan",Jakarta,,Indonesia,12920
122434007,"Faculty of Computer Science, Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan, Jakarta, Indonesia",1,Faculty of Computer Science,"Jl. Ciledug Raya, Petukangan Utara, Jakarta Selatan",Jakarta,,Indonesia,
60032530,"Université de Tours, 60 rue du Plat D'Etain, Tours, Centre-Val de Loire, France, 37020, Cedex 1",1,Université de Tours,60 rue du Plat D'Etain,Tours,Centre-Val de Loire,France,"37020, Cedex 1"
60008950,"Australian National University, Canberra, ACT, Australia, 200",1,Australian National University,,Canberra,ACT,Australia,200
60102083,"Shenzhen Institute of Advanced Technology, Xueyuan avenue 1068, Shenzhen University Town, Shenzhen, China, 518055",1,Shenzhen Institute of Advanced Technology,"Xueyuan avenue 1068, Shenzhen University Town",Shenzhen,,China,518055
103995381,"Clayton School of Information Technology, Wellington Road, Melbourne, VIC, Australia, 3800",1,Clayton School of Information Technology,Wellington Road,Melbourne,VIC,Australia,3800
107909290,"Department of Information Technology, Wellington Road, Melbourne, VIC, Australia, 3800",1,Department of Information Technology,Wellington Road,Melbourne,VIC,Australia,3800
121896413,"Department of Informatics, Jl. Scientia Boulevard, Gading Serpong, Tangerang, Banten, Indonesia, 15811",1,Department of Informatics,"Jl. Scientia Boulevard, Gading Serpong",Tangerang,Banten,Indonesia,15811
104758235,"Research Center for Limnology, Jakarta, Java, Indonesia",1,Research Center for Limnology,,Jakarta,Java,Indonesia,
118335921,"Universitas Esa Unggul, STIKOM CKI, Jakarta, West Sulawesi, Indonesia, 11510",1,Universitas Esa Unggul,STIKOM CKI,Jakarta,West Sulawesi,Indonesia,11510
103636925,"Faculty of Computing and Informatics, Jalan Ayer Keroh Lama, Malacca Town, Selangor, Malaysia, 75450",1,Faculty of Computing and Informatics,Jalan Ayer Keroh Lama,Malacca Town,Selangor,Malaysia,75450
116379651,"Informatics Engineering, Jakarta, Indonesia",1,Informatics Engineering,,Jakarta,,Indonesia,
60025017,"Nara Institute of Science and Technology, 8916-5 Takayamacho, Ikoma, Nara, Japan, 630-0192",2,Nara Institute of Science and Technology,8916-5 Takayamacho,Ikoma,Nara,Japan,630-0192
60002014,"The Royal Institute of Technology (KTH), Valhallavagen 79, Stockholm, Stockholm, Sweden, 100 44",1,The Royal Institute of Technology (KTH),Valhallavagen 79,Stockholm,Stockholm,Sweden,100 44
122540858,"Department of InformationSystem, Palembang, Palembang, Indonesia, 30128",1,Department of InformationSystem,Palembang,Palembang,,Indonesia,30128
121033243,"SEEK Ltd., Melbourne, Australia",1,SEEK Ltd.,,Melbourne,,Australia,
60011362,"RMIT University, GPO Box 2476V, Melbourne, Vic, Australia, 3001",4,RMIT University,GPO Box 2476V,Melbourne,Vic,Australia,3001
60014313,"University of Massachusetts Amherst, 300 Massachusetts Avenue, Amherst MA, MA, United States, 01003-9290",1,University of Massachusetts Amherst,300 Massachusetts Avenue,Amherst MA,MA,United States,01003-9290
108180714,"Faculty of Computing, Sultan Ibrahim Chancellery Building, Johor Bahru, Johor, Malaysia, 81310",1,Faculty of Computing,Sultan Ibrahim Chancellery Building,Johor Bahru,Johor,Malaysia,81310
113461843,"Faculty of Computer Science, Universitätsplatz 1 - piazza Università 1 I-39100 Bozen-Bolzano, Bozen-Bolzano, BZ, Italy, 39100",1,Faculty of Computer Science,Universitätsplatz 1 - piazza Università 1 I-39100 Bozen-Bolzano,Bozen-Bolzano,BZ,Italy,39100
60000256,"Max Planck Institut für Informatik, Stuhlsatzenhausweg 85, Saarbrucken, Saarland, Germany, 66123",2,Max Planck Institut für Informatik,Stuhlsatzenhausweg 85,Saarbrucken,Saarland,Germany,66123
113210625,"Department of Computer Science, Piazzale Aldo Moro 5, Rome, RM, Italy, 185",1,Department of Computer Science,Piazzale Aldo Moro 5,Rome,RM,Italy,185
118438301,"Saarland Informatics Campus, Stuhlsatzenhausweg 85, Saarbrucken, Saarland, Germany, 66123",1,Saarland Informatics Campus,Stuhlsatzenhausweg 85,Saarbrucken,Saarland,Germany,66123
60009914,"Free University of Bozen-Bolzano, Universitätsplatz 1 - piazza Università 1 I-39100 Bozen-Bolzano, Bozen-Bolzano, BZ, Italy, 39100",1,Free University of Bozen-Bolzano,Universitätsplatz 1 - piazza Università 1 I-39100 Bozen-Bolzano,Bozen-Bolzano,BZ,Italy,39100
123143883,"Cloud Platform User Experience, Dietmar-Hopp-Allee 16, Walldorf, Baden-Wurttemberg, Germany, 69190",1,Cloud Platform User Experience,Dietmar-Hopp-Allee 16,Walldorf,Baden-Wurttemberg,Germany,69190
114959872,"Department of Computer Science, Jl. Dr. Setiabudhi No. 229, Bandung, West Java, Indonesia, 40154",3,Department of Computer Science,Jl. Dr. Setiabudhi No. 229,Bandung,West Java,Indonesia,40154
60030788,"Hiroshima University, 1-3-2 Kagamiyama, Higashihiroshima, Japan, 739-8511",2,Hiroshima University,1-3-2 Kagamiyama,Higashihiroshima,,Japan,739-8511
112469371,"Graduate School of Engineering, 1-3-2 Kagamiyama, Higashihiroshima, Japan, 739-8511",2,Graduate School of Engineering,1-3-2 Kagamiyama,Higashihiroshima,,Japan,739-8511
115256099,"School of Computing, Jl.Telekomunikasi 1, Dayeuh Kolot, Bandung West Java, West Java, Indonesia, 40257",1,School of Computing,"Jl.Telekomunikasi 1, Dayeuh Kolot",Bandung West Java,West Java,Indonesia,40257
114176633,"Faculty of Computer Science, Jl. Margonda Raya, Pondok Cina, Beji, Kota Depok, Depok, West Java, Indonesia, 16424",2,Faculty of Computer Science,"Jl. Margonda Raya, Pondok Cina, Beji, Kota Depok",Depok,West Java,Indonesia,16424
123417163,"Civil Engineering Faculty, Padang, Padang, West Sumatra, Indonesia, 25171",1,Civil Engineering Faculty,Padang,Padang,West Sumatra,Indonesia,25171
60105733,"Gunadarma University, Jl. Margonda Raya 100, Depok, West Java, Indonesia, 16424",2,Gunadarma University,Jl. Margonda Raya 100,Depok,West Java,Indonesia,16424
121371594,"Department of Computer Science, Jl. Rawamangun Muka, Jakarta, Indonesia, 13220",1,Department of Computer Science,Jl. Rawamangun Muka,,Jakarta,Indonesia,13220
118365643,"Kampus Baru UI Depok, Depok, Java, Indonesia, 16424",3,Kampus Baru UI Depok,,Depok,Java,Indonesia,16424
117868694,"Department of Electronics and Communication Engineering, Kasavanahalli, Carmelaram, Bengaluru, KA, India, 560035",1,Department of Electronics and Communication Engineering,"Kasavanahalli, Carmelaram",Bengaluru,KA,India,560035
122808827,Asian Development Committee,1,Asian Development Committee,,,,,
60105231,"Universitas Pendidikan Ganesha, Bali, Indonesia",3,Universitas Pendidikan Ganesha,,Bali,,Indonesia,
60031706,"Utah State University, 1600 Old Main Hill, Logan, UT, United States, 84322-1400",1,Utah State University,1600 Old Main Hill,Logan,UT,United States,84322-1400
108608839,"Logan High School, 162 West 100 South, Loganm UT, Logan, UT, United States, 84321",1,Logan High School,"162 West 100 South, Loganm UT",Logan,UT,United States,84321
112795679,"INTECH COLLEGIATE HIGH SCHOOL, 1787 RESEARCH PKWY, NORTH LOGAN, Logan, UT, United States, 84341",2,INTECH COLLEGIATE HIGH SCHOOL,"1787 RESEARCH PKWY, NORTH LOGAN",Logan,UT,United States,84341
103566786,"Department of Educational and Counselling Psychology and Special Education, 2329 West Mall Vancouver, Vancouver, BC, Canada, V6T 1Z4",1,Department of Educational and Counselling Psychology and Special Education,2329 West Mall Vancouver,Vancouver,BC,Canada,V6T 1Z4
